127.0.0.1 - - [02/Jun/2023:19:42:20 +0200] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:42:28 +0200] "GET /singup/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:42:28 +0200] "GET /singup/login.jsp HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:42:28 +0200] "GET /singup/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:42:28 +0200] "GET /singup/vendor/jquery/jquery.min.js HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:42:28 +0200] "GET /singup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:42:28 +0200] "GET /singup/css/style.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:42:28 +0200] "GET /singup/alert/dist/sweetalter.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:42:28 +0200] "GET /singup/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:42:29 +0200] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:42:31 +0200] "GET /singup/registration.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:42:31 +0200] "GET /singup/vendor/jquery/jquery.min.js HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:42:31 +0200] "GET /singup/alert/dist/sweetalter.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [02/Jun/2023:23:18:31 +0200] "POST /singup/registration HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [02/Jun/2023:23:18:31 +0200] "GET /singup/vendor/jquery/jquery.min.js HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [02/Jun/2023:23:18:31 +0200] "GET /singup/alert/dist/sweetalter.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [02/Jun/2023:23:18:48 +0200] "POST /singup/login HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [02/Jun/2023:23:18:48 +0200] "GET /singup/css/index-styles.css HTTP/1.1" 200 211255
0:0:0:0:0:0:0:1 - - [02/Jun/2023:23:18:49 +0200] "GET /singup/js/scripts.js HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [02/Jun/2023:23:18:50 +0200] "GET /singup/assets/favicon.ico HTTP/1.1" 200 23462
0:0:0:0:0:0:0:1 - - [02/Jun/2023:23:38:59 +0200] "POST /singup/login HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [02/Jun/2023:23:41:05 +0200] "POST /singup/login HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [02/Jun/2023:23:42:43 +0200] "POST /singup/login HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [02/Jun/2023:23:43:04 +0200] "POST /singup/login HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [02/Jun/2023:23:43:31 +0200] "POST /singup/login HTTP/1.1" 200 2472
